1.027365147999999978e-01;8.148751823000000005e-02;7.111439393999999248e-02
1.027436528999999960e-01;8.168253074999999586e-02;7.107249659000000608e-02
1.027507460999999983e-01;8.187784758999999690e-02;7.103146755999999173e-02
1.027578003999999878e-01;8.207345574999999616e-02;7.099132582999999330e-02
1.027648218000000030e-01;8.226934264000000663e-02;7.095209131000000669e-02
1.027718162000000046e-01;8.246549605000000338e-02;7.091378480999999123e-02
1.027787899999999949e-01;8.266190410999998961e-02;7.087642790999999776e-02
1.027857494999999954e-01;8.285855528000000969e-02;7.084004303000000780e-02
1.027927010000000002e-01;8.305543832999999487e-02;7.080465327999999059e-02
1.027996502000000090e-01;8.325254225999999258e-02;7.077028231000000169e-02
1.028065927999999990e-01;8.344985604999999307e-02;7.073695192999999992e-02
1.028135178999999982e-01;8.364736920000000187e-02;7.070468298000000262e-02
1.028204142000000015e-01;8.384507152999999546e-02;7.067349696999999931e-02
1.028272706000000064e-01;8.404295320999999319e-02;7.064341615999999990e-02
1.028340756999999994e-01;8.424100478000000336e-02;7.061446352999999065e-02
1.028408177000000034e-01;8.443921707000000276e-02;7.058666284000000846e-02
1.028474850999999968e-01;8.463758126999999798e-02;7.056003864999998987e-02
1.028540657000000108e-01;8.483608888999999431e-02;7.053461633000000786e-02
1.028605472999999937e-01;8.503473173000000718e-02;7.051042215000000168e-02
1.028669169000000078e-01;8.523350191999999603e-02;7.048748324000000953e-02
1.028731606999999937e-01;8.543239180999999405e-02;7.046582750999999534e-02
1.028792634999999983e-01;8.563139407000000536e-02;7.044548379999999999e-02
1.028852100000000047e-01;8.583050165000000176e-02;7.042648206000000355e-02
1.028909840000000048e-01;8.602970763999999437e-02;7.040885342999998742e-02
1.028965688999999989e-01;8.622900537000000032e-02;7.039263031999999642e-02
1.029019470000000075e-01;8.642838833999999526e-02;7.037784650999999447e-02
1.029071000999999957e-01;8.662785010000000063e-02;7.036453726999999936e-02
1.029120087999999961e-01;8.682738426000000120e-02;7.035273947999999555e-02
1.029166529000000024e-01;8.702698444000001032e-02;7.034249173999999882e-02
1.029210126000000003e-01;8.722664411000000118e-02;7.033383490999998988e-02
1.029250738000000026e-01;8.742635644000000539e-02;7.032681324000000789e-02
1.029288222999999863e-01;8.762611425999999870e-02;7.032147342000000245e-02
1.029322423000000042e-01;8.782590997000000455e-02;7.031786439999999916e-02
1.029353157999999963e-01;8.802573537999999753e-02;7.031603766999999783e-02
1.029380314000000046e-01;8.822558141000000353e-02;7.031604905999999655e-02
1.029403922000000082e-01;8.842543779999999243e-02;7.031796058000000516e-02
1.029424003000000004e-01;8.862529301999999554e-02;7.032183765000001030e-02
1.029440536000000017e-01;8.882513407000000583e-02;7.032774895000000470e-02
1.029453453000000046e-01;8.902494606999999949e-02;7.033576684000000800e-02
1.029462544000000063e-01;8.922473653999998811e-02;7.034596761000000420e-02
1.029467470999999995e-01;8.942448037000000349e-02;7.035843456000000218e-02
1.029468116000000072e-01;8.962411564000000164e-02;7.037329798999999997e-02
1.029464490999999898e-01;8.982357631000001397e-02;7.039071153999999775e-02
1.029456591000000032e-01;9.002279307999999647e-02;7.041082522000000066e-02
